N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
160;En un proyecto, el equipo de desarrollo está preocupado por la carga de trabajo y el compromiso excesivo en los sprints. ¿Qué medida podría tomar el Scrum Master para ayudar al equipo a tener una velocidad sostenible?;Asignar menos tareas en los próximos sprints;Eliminar impedimentos y trabajar con el Product Owner para refinar el backlog;Extender la duración de los sprints para permitir más tiempo;Solicitar más recursos externos para el equipo;B;El Scrum Master debe eliminar impedimentos (como una carga de trabajo insostenible) y colaborar con el Product Owner para asegurar que el backlog esté refinado y el tamaño del sprint sea realista para la velocidad del equipo.;Procesos;Tarea 5: Gestionar alcance;Predictivo;"GOLD PLATING: Si el equipo quiere añadir una mejora técnica ""gratis"", el PM debe negarse si no está en el alcance aprobado por el cliente."
161;¿Cuál es el propósito principal de la Revisión del Sprint (Sprint Review) en Scrum?;Inspeccionar el progreso hacia el objetivo del sprint y adaptar el Product Backlog si es necesario;Discutir y resolver los impedimentos del equipo;Evaluar el desempeño individual de los miembros del equipo;Crear una nueva lista de tareas para el próximo sprint;A;La Revisión del Sprint es donde el equipo presenta el Incremento completado a los interesados clave, y se colabora sobre lo que se hizo y lo que se hará a continuación, inspeccionando el Product Backlog.;Entorno;Tarea 2: Evaluar beneficios;Ágil;"ENTREGA DE VALOR: Usa el ""Product Backlog Refinement"" para asegurar que las historias de mayor valor estén siempre listas para el siguiente Sprint."
162;Se ha identificado un riesgo con alta probabilidad de ocurrencia y alto impacto. ¿Cuál es la estrategia de respuesta al riesgo más proactiva y deseable, si es viable?;Aceptar;Mitigar;Transferir;Evitar;D;Evitar el riesgo significa eliminar la causa o la posibilidad de que ocurra. Es la estrategia más proactiva para riesgos de alto impacto y alta probabilidad, si se puede aplicar.;Personas;Tarea 12: Reglas del equipo;Ágil;"TRICK: Si hay falta de compromiso, revisa la ""Definición de Listo"" (DoR). Quizás el equipo acepta trabajo que no entiende bien."
163;Un proyecto tiene un cronograma muy ajustado y el director del proyecto necesita acelerar la finalización sin aumentar el riesgo general del proyecto. ¿Qué técnica podría usar?;Crashing (Intensificación);Fast Tracking (Compresión rápida);Análisis Monte Carlo;Recurso de nivelación;A;Crashing (Intensificación) implica añadir recursos para acortar la duración de las actividades de la ruta crítica. Fast Tracking (Compresión rápida) implica ejecutar actividades en paralelo, lo que a menudo aumenta el riesgo.;Procesos;Tarea 12: Artefactos;Predictivo;MINDSET: El Plan de Gestión de Requisitos define cómo se identificarán, analizarán y documentarán las necesidades de los interesados.
164;¿Qué métrica de Valor Ganado indica la estimación del costo total del proyecto al finalizar, basándose en el desempeño actual?;BAC (Budget At Completion);PV (Planned Value);EAC (Estimate At Completion);ETC (Estimate To Complete);C;EAC es la estimación del costo total del proyecto al finalizar, utilizando el desempeño actual del costo.;Personas;Tarea 5: Capacitación;Híbrido;"TRICK: La formación ""Just-in-time"" (justo cuando se necesita) es más efectiva que grandes cursos teóricos al inicio del proyecto."
165;En un proyecto predictivo, el cliente solicita un cambio de alcance significativo después de que el plan de proyecto ha sido aprobado. ¿Qué debe hacer el director del proyecto?;Implementar el cambio si el cliente lo insiste;Negar el cambio para mantener el plan original;Iniciar el proceso formal de control integrado de cambios;Preguntar al equipo si pueden absorber el cambio;C;Cualquier cambio de alcance en un proyecto predictivo debe pasar por el proceso de control integrado de cambios para evaluar su impacto y obtener aprobación formal.;Procesos;Tarea 7: Calidad;Predictivo;ORDEN DE ACCIONES: Si hay una desviación de calidad, lo primero es encontrar la causa raíz (Root Cause Analysis) para evitar que se repita.
166;¿Cuál es el propósito principal del registro de lecciones aprendidas?;Documentar los problemas y las acciones correctivas;Almacenar el conocimiento adquirido durante un proyecto para mejorar proyectos futuros;Registrar las decisiones tomadas por el comité de dirección;Listar los requisitos del proyecto que no se pudieron cumplir;B;El registro de lecciones aprendidas es una herramienta clave para la gestión del conocimiento, permitiendo que la organización aprenda de sus experiencias.;Entorno;Tarea 4: Cambio org.;Híbrido;"MINDSET: El PM debe identificar a los ""Early Adopters"" dentro de la empresa para que ayuden a evangelizar sobre los beneficios del proyecto."
167;En un proyecto ágil, si el Product Owner está disponible pero no logra priorizar el Product Backlog de manera efectiva, lo que causa confusión en el equipo. ¿Qué debería hacer el Scrum Master?;Tomar el control del backlog y priorizarlo por sí mismo;Escalar la situación al patrocinador;Guiar y entrenar al Product Owner en técnicas de priorización y gestión del backlog;Pedir al equipo que elija las tareas que considere más importantes;C;El Scrum Master es un líder de servicio y coach para el Product Owner, ayudándolo a mejorar su efectividad en la gestión del Product Backlog.;Personas;Tarea 4: Empoderamiento;Ágil;MINDSET: El equipo es responsable de su propia calidad. El PM facilita que tengan el tiempo para hacer pruebas unitarias y revisiones de pares.
168;¿Qué es un riesgo residual?;Un riesgo que ha sido completamente eliminado;Un riesgo que se transfiere a un tercero (ej. mediante un seguro);Un riesgo que permanece después de implementar una respuesta a un riesgo;Un riesgo no identificado en la planificación inicial;C;Un riesgo residual es el riesgo que persiste después de que se han ejecutado las respuestas planificadas a los riesgos, o el riesgo que permanece después de que se ha aplicado la mitigación.;Procesos;Tarea 6: Cronograma;Predictivo;"TRICK: La ""Ruta Crítica"" es el camino más largo; cualquier retraso ahí retrasa el proyecto. Conoce siempre tu ""Holgura"" (Float)."
169;En la fase de ejecución, un miembro del equipo informa de un impedimento que le impide avanzar con una tarea crítica. ¿Quién es el PRINCIPAL responsable de ayudar a eliminar este impedimento?;El Director de Proyecto (en un entorno predictivo);El Scrum Master (en un entorno ágil);El Miembro del Equipo afectado;El Patrocinador;B;"En un entorno ágil, el Scrum Master es el principal responsable de eliminar los impedimentos que afectan al equipo de desarrollo. En un entorno predictivo, esta responsabilidad recae en el Director de Proyecto (opción A). Dada la naturaleza dual del examen PMP, y asumiendo una pregunta general de impedimento en ""un equipo"", el rol del Scrum Master es el más directo en este contexto.";Personas;Tarea 8: Mentoría;Híbrido;MINDSET: El mentoring ayuda a retener el talento. Un equipo que siente que crece profesionalmente es un equipo más productivo.
170;¿Cuál es el principal objetivo de realizar un análisis de sensibilidad para los riesgos del proyecto?;Cuantificar el costo total de los riesgos;Determinar qué riesgos tienen el mayor impacto potencial en los objetivos del proyecto;Desarrollar planes de respuesta para cada riesgo;Estimar la probabilidad de ocurrencia de cada riesgo;B;El análisis de sensibilidad ayuda a determinar cuáles riesgos tienen el mayor impacto potencial, al examinar el grado en que la incertidumbre de cada elemento del proyecto afecta el objetivo que se está examinando.;Procesos;Tarea 4: Presupuesto;Predictivo;MÉTRICAS (EVM): Un CV (Cost Variance) negativo significa que has gastado más de lo planeado para el trabajo realizado.
171;El equipo del proyecto está teniendo discusiones frecuentes y desacuerdos sobre cómo ejecutar una tarea. ¿Qué documento puede ayudar a clarificar la responsabilidad y autoridad de cada miembro para evitar futuros conflictos?;Acta de constitución del proyecto;Estructura de Desglose del Trabajo (EDT);Matriz de Asignación de Responsabilidades (RAM/RACI);Registro de interesados;C;Una matriz de asignación de responsabilidades (RAM), como la matriz RACI (Responsable, Aprobador, Consultado, Informado), clarifica las responsabilidades y autoridades de los miembros del equipo.;Entorno;Tarea 3: Cambios externos;Híbrido;TRICK: Si entra un nuevo competidor al mercado, el PM debe trabajar con el PO para re-priorizar el backlog y mantener la competitividad.
172;Durante la fase de planificación, el director del proyecto descubre que dos interesados clave tienen expectativas completamente opuestas respecto al alcance del producto. ¿Cuál es la acción más adecuada?;Dar preferencia al interesado con mayor autoridad jerárquica;Facilitar una sesión de alineación entre los interesados para negociar expectativas y documentar acuerdos;Incluir ambas expectativas en el alcance para satisfacer a todos;Escalar inmediatamente al patrocinador para que decida;B;La gestión proactiva de interesados requiere facilitar acuerdos tempranos. Documentar los consensos previene conflictos durante la ejecución.;Personas;Tarea 11: Equipos virtuales;Híbrido;"MINDSET: Establece un ""Calendario de Disponibilidad"" compartido para evitar que los miembros del equipo se sientan invadidos fuera de hora."
173;Tu proyecto tiene un BAC de 500,000, un EV de 200,000, un AC de 250,000 y un PV de 220,000. ¿Cuál es el EAC asumiendo que el desempeño actual continuará?;550,000;475,000;625,000;500,000;C;CPI = EV/AC = 200,000/250,000 = 0.80. EAC = BAC/CPI = 500,000/0.80 = 625,000. El proyecto terminará sobre presupuesto si el desempeño no mejora.;Procesos;Tarea 8: Comunicación;Predictivo;ORDEN DE ACCIONES: Si la información no fluye, audita los canales. ¿Es mejor una reunión o un reporte escrito para este stakeholder?
174;En el marco del PMBOK 7, ¿cuál de los siguientes representa mejor un principio de dirección de proyectos en lugar de un proceso?;Desarrollar el acta de constitución del proyecto;Controlar el cronograma;Identificar a los interesados;Ser un administrador diligente, respetuoso y cuidadoso;D;"El PMBOK 7 se basa en 12 principios de dirección de proyectos, no en procesos. ""Ser un administrador diligente"" es uno de esos principios rectores.";Personas;Tarea 14: Colaboración;Ágil;"TRICK: Las ""Daily Stand-ups"" son para sincronizar el trabajo de las próximas 24 horas, no para resolver problemas técnicos profundos."
175;Un proyecto ágil está en su octavo sprint. El equipo ha entregado consistentemente menos puntos de historia de los comprometidos. El Product Owner está presionando para agregar más elementos al sprint. ¿Qué debe hacer el Scrum Master?;Proteger al equipo y facilitar una conversación sobre la velocidad real vs. comprometida;Aceptar la solicitud del Product Owner ya que tiene autoridad sobre el backlog;Extender el sprint para cumplir con los compromisos actuales;Reducir la definición de 'Done' para incrementar la velocidad aparente;A;El Scrum Master protege al equipo de compromisos insostenibles. La velocidad histórica debe guiar la planificación futura, no las presiones externas.;Procesos;Tarea 17: Cierre;Predictivo;MINDSET: El éxito del cierre depende de haber tenido criterios de aceptación claros desde la fase de planificación.
